RuleID,Condition,Coefficient,Description,Categorie
R0001,Age<21,1.45,Jeune conducteur 18-20 ans,Age
R0002,Age<24,1.39,Jeune conducteur 21-23 ans,Age
R0003,Age<27,1.33,Jeune conducteur 24-26 ans,Age
R0004,Age>=66,1.07,Conducteur senior 66+ ans,Age
R0005,Age>=69,1.13,Conducteur senior 69+ ans,Age
R0006,Age>=72,1.19,Conducteur senior 72+ ans,Age
R0007,BonusMalus=0.5,0.5,Coefficient bonus/malus 0.5,BonusMalus
R0008,BonusMalus=0.55,0.55,Coefficient bonus/malus 0.55,BonusMalus
R0009,BonusMalus=0.6,0.6,Coefficient bonus/malus 0.6,BonusMalus
R0010,BonusMalus=0.65,0.65,Coefficient bonus/malus 0.65,BonusMalus
R0011,BonusMalus=0.7,0.7,Coefficient bonus/malus 0.7,BonusMalus
R0012,BonusMalus=0.75,0.75,Coefficient bonus/malus 0.75,BonusMalus
R0013,BonusMalus=0.8,0.8,Coefficient bonus/malus 0.8,BonusMalus
R0014,BonusMalus=0.85,0.85,Coefficient bonus/malus 0.85,BonusMalus
R0015,BonusMalus=0.9,0.9,Coefficient bonus/malus 0.9,BonusMalus
R0016,BonusMalus=0.95,0.95,Coefficient bonus/malus 0.95,BonusMalus
R0017,BonusMalus=1.0,1.0,Coefficient bonus/malus 1.0,BonusMalus
R0018,BonusMalus=1.25,1.25,Coefficient bonus/malus 1.25,BonusMalus
R0019,BonusMalus=1.5,1.5,Coefficient bonus/malus 1.5,BonusMalus
R0020,BonusMalus=2.0,2.0,Coefficient bonus/malus 2.0,BonusMalus
R0021,BonusMalus=2.5,2.5,Coefficient bonus/malus 2.5,BonusMalus
R0022,BonusMalus=3.0,3.0,Coefficient bonus/malus 3.0,BonusMalus
R0023,BonusMalus=3.5,3.5,Coefficient bonus/malus 3.5,BonusMalus
R0024,Marque=Renault,1.0,Véhicule Renault,Marque
R0025,Marque=Dacia,0.88,Véhicule Dacia,Marque
R0026,Marque=Peugeot,1.05,Véhicule Peugeot,Marque
R0027,Marque=Toyota,1.08,Véhicule Toyota,Marque
R0028,Marque=Hyundai,0.98,Véhicule Hyundai,Marque
R0029,Marque=Volkswagen,1.12,Véhicule Volkswagen,Marque
R0030,Marque=BMW,1.35,Véhicule BMW,Marque
R0031,Marque=Mercedes-Benz,1.4,Véhicule Mercedes-Benz,Marque
R0032,Marque=Kia,0.95,Véhicule Kia,Marque
R0033,Marque=Citroën,1.02,Véhicule Citroën,Marque
R0034,Marque=Nissan,1.06,Véhicule Nissan,Marque
R0035,Marque=Suzuki,0.92,Véhicule Suzuki,Marque
R0036,Marque=Audi,1.3,Véhicule Audi,Marque
R0037,Marque=Fiat,0.96,Véhicule Fiat,Marque
R0038,Marque=Ford,1.04,Véhicule Ford,Marque
R0039,Ville=Casablanca,1.28,Zone géographique Casablanca,Zone
R0040,Ville=Rabat,1.18,Zone géographique Rabat,Zone
R0041,Ville=Marrakech,1.22,Zone géographique Marrakech,Zone
R0042,Ville=Fès,1.15,Zone géographique Fès,Zone
